mes_ano,positivo,negativo
2021-05-01,112,3
2021-06-01,86,5
2021-07-01,67,17
2021-08-01,61,8
2021-09-01,99,10
2021-10-01,108,6
2021-11-01,135,15
2021-12-01,354,26
2022-01-01,188,18
2022-02-01,140,16
2022-03-01,28,8
